nynorsk_doc_hash,bokmål_doc_hash
13fa020eab6067eff35fee203d9bd51029dd792a,2bc84cb6e05e628cc1134cfd470125ec3da90f53
439974aa8c67b01700dfc377f2d5a9edd613f173,bf70ad3f5aa0cf43f7d7d9633244ea447754f44c
3533f273bda1dada38d624477cfd4757cf8cfbf9,a971dcffe59f0087a1b1f05f3f7738480c18fb5e
17d5faf08bd977c6e5e9e15ec142eaaa6ac3e6c0,6654894b1811ae6a49cc47b7f1f397aba1f1d333
4d51a7b1d28248fd83db5cd93f7dc1023d5b55f0,25621c21f6d0c7b768ff6e562c16d1e1370419f1
f86f85feb3643695cbb57e78aa38bff02f1b356a,b0416ba07c80045e91408cbe6622b37ed5a80bfe
7cd5b83aa01b9f0aba67eb00e9244270cce85108,84f4ec276e809d2dd58c1772d85271282ab5d438
7de0df8cfcc4bbc0cbc63e7f6f26fee78c8d1737,df9567505658be8c574153d6442904b85580a958
68d0e66a6759d32e5d4bef146e8f46bb65ebf2f4,8c74ba7da1c3e89c21f878c44d965d0c4bdbe46b
81ba0394c08b8bdde7db4c0ecf117db716f4732b,a0dac4d6d9e7e93acbf93e19ece031999376d7c3
00dc2497a615cd5851a5fe4e0583f67b5445d965,9d6658f8a777df12232cfef8ea3f252171ec3395
f533e3f957975514bd55c7ce9f5555a8d721572d,44614e362a6302c67d7f44721f8257090f0255cd
f46125075160b6a3fa19a165e64c5e4b2d46b10c,b73e05946a942d11f8c154b92841dd2c6ec718b7
1e007e376e4d7ae898a43a773bb712fde594878a,ecfbdcda81beaac26d7a2ffd683ce2603d775373
9b188ba61a4a422250cc1c1b305a34da86b4868b,31124d30202f65c720b963d95044b56262a7fe0a
a087ad4e91c03bfe6bc601ed37a0fbf2d4ed8133,465b626ec120a8bd12bfc16c3d61610df32e7019
2d8590723034d762c001e2ffbebc0aa7c0519c42,1cd8c5760c7e2fd9373c7795749640548277a8a5
87b2a0ab5ccb7a3b8ac6b4fcbb78e0b9ffa59a84,339816878fb74bd89b501b5a863c4058b5b0f176
d0efed498de39e2a5c9cb1dddeee2ecea2a4944a,9a0f11d66dba996b0bcf768d3367d2c9bdd64e09
f864fd3bafaba943ef315fe76dbe0c259a8d5cb4,55c1ac5e65b440e2b7efa6b1a66cd4a75a203ee1
0577d7c229b317fa03f32ceea10360aa035c6bee,c1f0b9c79c6ad8061646bdb8912f352bccc27db1
1f428c88682b5026299321840d01f1a77a4f9fa9,084e0b12cafca9e1da28f68d11d0d8f922ed0b0c
6b7a9134b556e58c11f69f261db228dca22f4f75,acec434faf44ed36cb523f4eab798f3e108686cf
84b057e9e550be31e9c9a57b4aa4f77f26dceecf,bd33ac0c2695e126b60218a855192e687f8172f1
b8dfefa1c21e61c217935ed160ac075a8a0352f0,fe5d4fd075bfe262a7623600c2b132fa20405618
da7276c3d02d75906819494551db172e32420cbc,0ee11255a85d0fbb880e3bea895cd280dcdbfcdc
07fa851aeab07baa8ccf740ddbd5df6f63b02788,35d56a17c1a7c6939c95fa808c6a97eddc0af2d4
1f8ad10986f40d8f7b843fe9686175e4e2afa22c,59aeeeeedf96697eb9b3a27ec2d79dd9b730c3d8
656dda208d1438e3a12d14c31f01cd60cec5f6ed,a1823e2bd697ecde97c63280486b66252bd5ace5
