"annotation,""annotation_id"",""annotator"",""created_at"",""date_lang_1"",""date_lang_2"",""doc_hash_lang_1"",""doc_hash_lang_2"",""domain_lang_1"",""domain_lang_2"",""fulltext_joined_lang_1"",""fulltext_joined_lang_2"",""fulltext_lang_1"",""fulltext_lang_2"",""id"",""lang_lang_1"",""lang_lang_2"",""lead_time"",""mimetype_lang_1"",""mimetype_lang_2"",""updated_at"",""url_lang_1"",""url_lang_2""",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,"annotation,""annotation_id"",""annotator"",""created_at"",""date_lang_1"",""date_lang_2"",""doc_hash_lang_1"",""doc_hash_lang_2"",""domain_lang_1"",""domain_lang_2"",""fulltext_joined_lang_1"",""fulltext_joined_lang_2"",""fulltext_lang_1"",""fulltext_lang_2"",""id"",""lang_lang_1"",""lang_lang_2"",""lead_time"",""mimetype_lang_1"",""mimetype_lang_2"",""sensitive"",""updated_at"",""url_lang_1"",""url_lang_2"""
Skriv inn opplysningane i dei grå felta nedanfor.  Nytt tabulator-tasten for å gå til neste felt (Skift+Tab for å gå til det førre feltet)  Felta vil verta utvida automatisk i høgda dersom du skriv meir tekst enn det er plass til på ei linje.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hendinga skjedde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dato:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klokkeslett:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operatør/ansvarleg person:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felt/anlegg:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innretning:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meldar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namn/eining:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telefon:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-post:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kontaktpunkt for informasjon dersom det er ein annan enn den som er ført opp som Meldar ovanfor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navn/eining:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telefon:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-post:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skildring av situasjonen/hendinga (feltet nedanfor vert automatisk utvida når du skriv) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skildring av hendinga:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varigheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utsett produksjon – estimert varigheit i døger: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konsekvensar – tap av produksjon / utsett produksjon (felta nedanfor vert automatisk utvida når du skriv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For produksjonen – volum væske/gass, i Sm3: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For andre innretningar/landanlegg:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For andre transportsystem:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For gjennomføring av leiteboring, datainnsamling m.v.:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"							                                                Oppdatert 1.1.24"",""Bekreftelse av Varsling til Sokkeldirektoratet om hendelse og andre forhold som medfører nedstengning, reduksjon av utvinning av petroleum eller som påvirker gjennomføring av aktiviteter i tråd med vedtak fattet i medhold av loven og forskriften, ref. Petroleumsforskriften § 79 a. Grense for varsling: full nedstengning utover ett døgn eller forventet leveransesvikt over 15 mill Sm3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gass eller 15 000 Sm3 olje og kondensat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sendes til e-postadresse: email-removed@email-removed.no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vakttelefon mobil 992 26 847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skriv inn opplysningene i de grå feltene nedenfor. Bruk tabulator-tasten for å gå til neste felt (Skift+Tab for å gå til forrige felt). Feltene vil utvides automatisk i høyden dersom du skriver inn mer tekst enn det er plass til på én linje.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hendelsen inntraff:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dato:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klokkeslett:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operatør/den ansvarlige:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felt/anlegg:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innretning:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navn/enhet:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telefon:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-post:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kontaktpunkt for informasjon hvis den er forskjellig fra den som er ført opp som Melder ovenfor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navn/enhet:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telefon:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-post:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beskrivelse av situasjonen/hendelsen (feltet nedenfor vil utvides automatisk når du skriver),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oppgi beskrivelse:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varighet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produksjonsutsettelse - estimert varighet i antall døgn: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konsekvenser – produksjonstap/utsettelser (feltene nedenfor vil utvides automatisk når du skriver),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For produksjonen – volum væske/gass, i Sm3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For andre innretninger/landanlegg:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For andre transportsystemer:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For gjennomføring av leteboring, datainnsamling m.v.:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                 Oppdatert 1.1.24"",""['Stadfesting av varsling til Sokkeldirektoratet om hending og andre tilhøve som fører til nedstenging, reduksjon av utvinning av petroleum eller som påverkar gjennomføring av aktivitetar i tråd med vedtak som er fatta  i medhald av loven og føresegner, ref. Petroleumsforskrifta §79a. Grense for varsling: full nedstenging utover eitt døger eller\xa0forventa leveransesvikt over 15 mill Sm3 gass eller 15 000\xa0Sm3 olje og kondensat.', 'Sendast til e-postadresse: email-removed@email-removed.no', 'Vakttelefon mobil: 992\xa0268 47', 'Skriv inn opplysningane i dei grå felta nedanfor.  Nytt tabulator-tasten for å gå til neste felt (Skift+Tab for å gå til det førre feltet)  Felta vil verta utvida automatisk i høgda dersom du skriv meir tekst enn det er plass til på ei linje.', 'Hendinga skjedde', 'Dato:', 'Klokkeslett:', 'Operatør/ansvarleg person:', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', 'Felt/anlegg:', 'Innretning:', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', 'Meldar', 'Namn/eining:', 'Telefon:', 'E-post:', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', 'Kontaktpunkt for informasjon dersom det er ein annan enn den som er ført opp som Meldar ovanfor', 'Navn/eining:', 'Telefon:', 'E-post:', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', 'Skildring av situasjonen/hendinga (feltet nedanfor vert automatisk utvida når du skriv) ', 'Skildring av hendinga:', '\u2002\u2002\u2002\u2002\u2002', 'Varigheit', 'Utsett produksjon – estimert varigheit i døger: ', '\u2002\u2002\u2002\u2002\u2002', 'Konsekvensar – tap av produksjon / utsett produksjon (felta nedanfor vert automatisk utvida når du skriv)', 'For produksjonen – volum væske/gass, i Sm3:\xa0', '\u2002\u2002\u2002\u2002\u2002', 'For andre innretningar/landanlegg:', '\u2002\u2002\u2002\u2002\u2002', 'For andre transportsystem:', '\u2002\u2002\u2002\u2002\u2002', 'For gjennomføring av leiteboring, datainnsamling m.v.:', '\u2002\u2002\u2002\u2002\u2002', '\t\t\t\t\t\t\t                                                Oppdatert 1.1.24']"",""['Bekreftelse av Varsling til Sokkeldirektoratet om hendelse og andre forhold som medfører nedstengning, reduksjon av utvinning av petroleum eller som påvirker gjennomføring av aktiviteter i tråd med vedtak fattet i medhold av loven og forskriften, ref. Petroleumsforskriften § 79 a. Grense for varsling: full nedstengning utover ett døgn eller forventet leveransesvikt over 15 mill Sm3 ', 'gass eller 15 000 Sm3 olje og kondensat.', 'Sendes til e-postadresse: email-removed@email-removed.no', 'Vakttelefon mobil 992 26 847', 'Skriv inn opplysningene i de grå feltene nedenfor. Bruk tabulator-tasten for å gå til neste felt (Skift+Tab for å gå til forrige felt). Feltene vil utvides automatisk i høyden dersom du skriver inn mer tekst enn det er plass til på én linje.', 'Hendelsen inntraff:', 'Dato:', 'Klokkeslett:', 'Operatør/den ansvarlige:', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', 'Felt/anlegg:', 'Innretning:', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', 'Melder', 'Navn/enhet:', 'Telefon:', 'E-post:', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', 'Kontaktpunkt for informasjon hvis den er forskjellig fra den som er ført opp som Melder ovenfor', 'Navn/enhet:', 'Telefon:', 'E-post:', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', '\u2002\u2002\u2002\u2002\u2002', 'Beskrivelse av situasjonen/hendelsen (feltet nedenfor vil utvides automatisk når du skriver)', 'Oppgi beskrivelse:', '\u2002\u2002\u2002\u2002\u2002', 'Varighet', 'Produksjonsutsettelse - estimert varighet i antall døgn: ', '\u2002\u2002\u2002\u2002\u2002', 'Konsekvenser – produksjonstap/utsettelser (feltene nedenfor vil utvides automatisk når du skriver)', 'For produksjonen – volum væske/gass, i Sm3:', '\u2002\u2002\u2002\u2002\u2002', 'For andre innretninger/landanlegg:', '\u2002\u2002\u2002\u2002\u2002', 'For andre transportsystemer:', '\u2002\u2002\u2002\u2002\u2002', 'For gjennomføring av leteboring, datainnsamling m.v.:', '\u2002\u2002\u2002\u2002\u2002', '                 Oppdatert 1.1.24']"",148,""nno"",""nob"",313.072,""doc"",""doc"",""2026-01-09T09:56:54.725963Z"",""https://www.sodir.no/globalassets/1-sodir/regelverk/skjema/varsling-og-rapportering/varslingsskjema_nynorsk.docx"",""https://www.sodir.no/globalassets/1-sodir/regelverk/skjema/varsling-og-rapportering/varslingsskjema_bokmal.docx""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parallell,51,""2"",""2026-01-09T09:57:08.557246Z"",1735350040000,1735336018000,""85cb362c37d420b614a9c83a117767943ea335c7"",""42f450d8cc97b5f6368d133ba6529abac64eb99a"",""fhi.no"",""fhi.no"",""Eleni Zoumpoulia Papadopoulou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher Professor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eleni Papadopoulou, PhD, a Research Professor and epidemiologist at the Norwegian Institute of Public Health, Department for Global Health, specializes in global health with a strong emphasis on digital health for maternal and child health. Her background in nutrition, public health, and environmental epidemiology informs her current role as the principal investigator of the EU-funded project ENABLE and coordinator of the NORAD-funded BIS Ethiopia project. Eleni's research primarily focuses on understanding environmental and climate impacts on childhood development and growth, as well as advancing quality antenatal and postnatal care , and she is actively involved in capacity building and health system strengthening projects in Ethiopia, Rwanda, and Uganda, supervising PhD students and employing advanced epidemiological methods to improve global health outcomes. Her research utilizes a combination of qualitative and quantitative methods, systematic reviews, clinical trials, and longitudinal birth cohort studies, as well as other advanced statistical methods, to understand complex interactions between early life factors and their impact on health and understand how to strengthen primary health care services for mothers and children in LMICs. Epidemiologi", Digital Health, Environmental Epidemiology, EU-funded Research, Health System Strengthening, Advanced Epidemiological Methods, Implementation Research, Longitudinal Birth Cohort Studies, Primary Health Care Services, Low and Middle-Income Countries (LMICs), Environmental and Climate Impacts," Child Development."",""Eleni Zoumpoulia Papadopoulou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"forsker, Ph.D in Epidemiology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagområder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
